stamp_sec,stamp_nanosec,time_sec,pose_index,frame_id,child_frame_id,x,y,z,qx,qy,qz,qw
1778134301,412056022,1778134301.412056,0,odom,base_link,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1778134305,416771686,1778134305.4167717,1,odom,base_link,-0.47402581572532654,0.004917489364743233,2.8030683994293213,0.00019285813822128174,-0.061478115030398135,0.000382414283338473,0.9981083397794869
1778134307,420744579,1778134307.4207447,2,odom,base_link,-1.0077482461929321,0.04605219513177872,4.481411933898926,0.0002661176124763791,-0.10615846986044268,0.0008999660663795909,0.9943487811222907
1778134308,420585308,1778134308.4205854,3,odom,base_link,-1.3029048442840576,0.02490951679646969,5.246347904205322,-0.00019958557709997022,-0.12956970921150135,0.000726064021101037,0.9915700295246331
1778134309,420803414,1778134309.4208033,4,odom,base_link,-1.6620728969573975,0.06405267119407654,6.002254009246826,-3.859149544284974e-05,-0.15338340368301462,0.0011396499180208295,0.988166094937169
1778134310,421871695,1778134310.4218717,5,odom,base_link,-1.9984935522079468,0.06010665372014046,6.710888385772705,1.272031775148438e-05,-0.17458052831296708,0.0009748988412665072,0.984642416588077
1778134311,420021693,1778134311.4200218,6,odom,base_link,-2.420186758041382,0.07474901527166367,7.453847885131836,0.00024058639370546218,-0.19760776459885737,0.0009576757771597666,0.9802806722288957
1778134312,423556037,1778134312.423556,7,odom,base_link,-2.827332019805908,0.08066774904727936,8.15705680847168,0.00027342831452793146,-0.21662255830906094,0.0008721416661000294,0.976255003489103
1778134313,420032669,1778134313.4200327,8,odom,base_link,-3.281446933746338,0.07380446046590805,8.88630199432373,0.000465781032100721,-0.23115968996487316,0.0004261180602400805,0.9729156177216874
1778134314,420660111,1778134314.42066,9,odom,base_link,-3.7426178455352783,0.06191666051745415,9.570196151733398,0.00027530574133035913,-0.24750185074939798,0.00032782618118130247,0.9688873260665384
1778134316,420683258,1778134316.4206831,10,odom,base_link,-4.730210304260254,0.04820207506418228,10.859798431396484,6.886863943892833e-05,-0.28484717043311103,0.00043235839435290643,0.9585728442948818
1778134317,411577273,1778134317.4115772,11,odom,base_link,-5.2543206214904785,0.0515291802585125,11.473350524902344,0.00022625886241668192,-0.3034854908209406,0.00028322223434363946,0.9528359908469379
1778134318,422115976,1778134318.422116,12,odom,base_link,-5.808869361877441,0.04233797639608383,12.076905250549316,-0.00017409430521229434,-0.326856800854303,0.0006270805813891472,0.9450736522601864
